Vårby Gårds scoutkår Glömsta;Lindgårdsvägen 3, Huddinge;168.7;59.237;17.918
S:t Göran, Sjöscoutkåren;Gjörwellsgatan 29, Stockholm;168.9;59.325;18.018
Wallinum Väpnarna;Idungatan 9 (Utomhusverksamheten bedrivs i Kronobergsparken på Kungsholmen), Stockholm;169.1;59.347;18.044
SMU i Fredriksberg;Gamla Ö Gård, Norrköping;169.2;58.537;16.178
Wallinum Väpnarna;Utomshusverksamhet i Kronobergsparken, lokal på Idungatan 9, Stockholm;169.3;59.332;18.033
Älvsjö scoutkår;Herrängsvägen 3, Älvsjö;169.4;59.269;17.969
Ti Partinos scoutkår;Vårgatan 2, Hägersten;169.4;59.303;18.007
S:t Botvids scoutkår;Hålvasterssonsvägen 10, Tullinge;169.5;59.198;17.889
Vagnhärad Scoutkår;Länsmansvägen 3, Vagnhärad;169.6;58.945;17.5
Södermalms scoutkår;Högalidsgatan 33, Stockholm;169.7;59.318;18.028
Karlsborgs scoutkår;Smedjegatan, Karlsborg;170.0;58.525;14.505
Scoutkåren Gustaf Vasa-Bredäng;Rehnsgatan 16, Stockholm;170.1;59.342;18.059
Equmeniascout Älvsjö;Långbrodalsvägen 46, Älvsjö;170.2;59.276;17.994
Adolf Fredriks scoutkår;Saltmätargatan 1, Stockholm;170.3;59.338;18.059
Förbundskåren scoutkår KFUK-KFUMs scoutförbund;Rosengatan 1, Stockholm;170.4;59.339;18.062
SMU i Immanuelskyrkan, Sthlm;Box 6588, Stockholm;170.8;59.332;18.064
Ekebyholms scoutkår KFUK-KFUM;Ekebyholmsvägen 153, Rimbo;170.9;59.772;18.348
Moholm scoutkår;Tibrovägen, Moholm;171.1;58.603;14.048
Hammarbykyrkans scoutkår EFS;VILANDE, ;171.2;59.242;17.976
Bandhagens scoutkår;Glanshammarsgatan 51, Bandhagen;171.5;59.265;18.008
S:ta Maria scoutkår;Bergsgruvan, Fatbursgatan 38, Stockholm;171.5;59.313;18.059
Mäster Olof-Rå. i Gamla Stan;Svartmangatan 6, Stockholm;171.6;59.324;18.071
Stuvsta scoutkår;Mellanskogsvägen 1-3, Huddinge;171.8;59.25;17.997
Frikyrkan Tystbergas Ungdom;Norrhem Lövnäs, Tystberga;171.8;58.828;17.313
Flemingsbergs Scoutkår;Sågstuvägen 5, Huddinge;171.9;59.218;17.963
Hedvig Eleonora scoutkår;Storskärsgatan 4, Stockholm;172.0;59.341;18.095
SMU i Gimo-Östhammar;Svarvaregatan 6, Östhammar;172.0;60.258;18.376
Vikingarna, Scoutkåren;Värtavägen 33, Stockholm;172.1;59.342;18.098
Örby KFUK-KFUM;Kärnbovägen 6, Älvsjö;172.1;59.275;18.03
Stjärnkåren;Stora Moskén, Kapellgränd 10, Stockholm;172.2;59.315;18.074
